Fichier, Temps Naif (µs), Temps Welzl (µs)
test-10.points, 251049, 5853
test-100.points, 91809, 1270
test-1000.points, 91906, 930
test-1001.points, 98933, 500
test-1002.points, 72080, 1134
test-1003.points, 122148, 302
test-1004.points, 58250, 334
test-1005.points, 89020, 507
test-1006.points, 75432, 550
test-1007.points, 82544, 421
test-1008.points, 93036, 677
test-1009.points, 62524, 257
test-101.points, 62663, 278
test-1010.points, 66063, 334
test-1011.points, 106689, 476
test-1012.points, 89382, 288
test-1013.points, 93237, 648
test-1014.points, 63184, 592
test-1015.points, 80394, 575
test-1016.points, 96101, 603
test-1017.points, 57035, 575
test-1018.points, 73288, 342
test-1019.points, 88721, 271
test-102.points, 96990, 454
test-1020.points, 65908, 603
test-1021.points, 86415, 239
test-1022.points, 82731, 384
test-1023.points, 94348, 510
test-1024.points, 94217, 269
test-1025.points, 93620, 282
test-1026.points, 72992, 509
test-1027.points, 76431, 562
test-1028.points, 88363, 552
test-1029.points, 79257, 861
test-103.points, 93004, 577
test-1030.points, 89724, 584
test-1031.points, 66729, 433
test-1032.points, 104095, 516
test-1033.points, 72754, 645
test-1034.points, 85976, 493
test-1035.points, 72823, 590
test-1036.points, 66746, 399
test-1037.points, 69677, 199
test-1038.points, 69287, 424
test-1039.points, 87410, 790
test-104.points, 98171, 389
test-1040.points, 58590, 414
test-1041.points, 91031, 500
test-1042.points, 55485, 428
test-1043.points, 80440, 292
test-1044.points, 86414, 355
test-1045.points, 60257, 765
test-1046.points, 79734, 276
test-1047.points, 70598, 305
test-1048.points, 73877, 439
test-1049.points, 79271, 477
test-105.points, 87462, 427
test-1050.points, 89096, 603
test-1051.points, 93975, 834
test-1052.points, 83823, 1073
test-1053.points, 92257, 479
test-1054.points, 81534, 512
test-1055.points, 81148, 615
test-1056.points, 71170, 519
test-1057.points, 98251, 364
test-1058.points, 79368, 548
test-1059.points, 56915, 481
test-106.points, 87561, 653
test-1060.points, 71870, 343
test-1061.points, 74893, 763
test-1062.points, 81192, 307
test-1063.points, 55736, 491
test-1064.points, 103474, 184
test-1065.points, 55373, 577
test-1066.points, 61280, 573
test-1067.points, 106704, 848
test-1068.points, 78834, 219
test-1069.points, 62124, 250
test-107.points, 68825, 609
test-1070.points, 59143, 452
test-1071.points, 85934, 698
test-1072.points, 90628, 182
test-1073.points, 77984, 294
test-1074.points, 79809, 623
test-1075.points, 67622, 553
test-1076.points, 55709, 500
test-1077.points, 51196, 493
test-1078.points, 75331, 762
test-1079.points, 51437, 351
test-108.points, 82392, 321
test-1080.points, 55157, 423
test-1081.points, 66458, 397
test-1082.points, 66073, 332
test-1083.points, 73557, 146
test-1084.points, 85000, 474
test-1085.points, 54564, 197
test-1086.points, 58244, 481
test-1087.points, 52812, 366
test-1088.points, 63875, 286
test-1089.points, 46014, 253
test-109.points, 63400, 424
test-1090.points, 73943, 293
test-1091.points, 57004, 442
test-1092.points, 62929, 373
test-1093.points, 63073, 366
test-1094.points, 47989, 219
test-1095.points, 41285, 280
test-1096.points, 58862, 493
test-1097.points, 61970, 602
test-1098.points, 59449, 393
test-1099.points, 65895, 594
test-11.points, 41698, 297
test-110.points, 63572, 321
test-1100.points, 49365, 205
test-1101.points, 73884, 6646
test-1102.points, 47900, 331
test-1103.points, 73910, 138
test-1104.points, 41834, 329
test-1105.points, 51712, 271
test-1106.points, 46279, 311
test-1107.points, 66457, 482
test-1108.points, 52829, 221
test-1109.points, 60372, 337
test-111.points, 52548, 396
test-1110.points, 72464, 562
test-1111.points, 79296, 333
test-1112.points, 49190, 620
test-1113.points, 52644, 408
test-1114.points, 43850, 385
test-1115.points, 39413, 253
test-1116.points, 44215, 231
test-1117.points, 67199, 182
test-1118.points, 60438, 130
test-1119.points, 58034, 386
test-112.points, 58323, 412
test-1120.points, 52333, 324
test-1121.points, 76719, 141
test-1122.points, 59712, 311
test-1123.points, 56918, 474
test-1124.points, 45252, 214
test-1125.points, 50117, 187
test-1126.points, 63364, 150
test-1127.points, 51868, 290
test-1128.points, 48324, 342
test-1129.points, 64915, 465
test-113.points, 155, 335
test-1130.points, 69866, 298
test-1131.points, 60887, 475
test-1132.points, 58468, 242
test-1133.points, 61904, 380
test-1134.points, 50995, 683
test-1135.points, 66287, 529
test-1136.points, 59445, 256
test-1137.points, 54398, 438
test-1138.points, 56377, 272
test-1139.points, 47716, 477
test-114.points, 61191, 383
test-1140.points, 116690, 555
test-1141.points, 61767, 244
test-1142.points, 46916, 314
test-1143.points, 46279, 445
test-1144.points, 45951, 248
test-1145.points, 55315, 241
test-1146.points, 41081, 348
test-1147.points, 61183, 342
test-1148.points, 51527, 554
test-1149.points, 201, 216
test-115.points, 63170, 382
test-1150.points, 57536, 342
test-1151.points, 41488, 267
test-1152.points, 51566, 396
test-1153.points, 41170, 279
test-1154.points, 54270, 268
test-1155.points, 60569, 368
test-1156.points, 68234, 251
test-1157.points, 60527, 373
test-1158.points, 51358, 743
test-1159.points, 62330, 322
test-116.points, 57128, 261
test-1160.points, 66198, 129
test-1161.points, 47444, 182
test-1162.points, 63350, 321
test-1163.points, 67712, 352
test-1164.points, 60358, 254
test-1165.points, 69146, 391
test-1166.points, 47589, 390
test-1167.points, 65622, 700
test-1168.points, 58636, 332
test-1169.points, 63151, 353
test-117.points, 51676, 294
test-1170.points, 68257, 687
test-1171.points, 47, 140
