Fichier, Temps Naif, Temps Welzl
test-10.points, 152887, 5630
test-100.points, 137416, 2162
test-1000.points, 90983, 3310
test-1001.points, 98649, 1920
test-1002.points, 75652, 814
test-1003.points, 58239, 616
test-1004.points, 55775, 743
test-1005.points, 88593, 1154
test-1006.points, 71148, 583
test-1007.points, 79805, 845
test-1008.points, 92261, 659
test-1009.points, 67230, 207
test-101.points, 65058, 762
test-1010.points, 63057, 296
test-1011.points, 109375, 420
test-1012.points, 90308, 673
test-1013.points, 90455, 1132
test-1014.points, 59806, 686
test-1015.points, 74147, 540
test-1016.points, 87723, 669
test-1017.points, 60713, 1035
test-1018.points, 78397, 847
test-1019.points, 94383, 468
test-102.points, 97811, 1029
test-1020.points, 59380, 479
test-1021.points, 102266, 556
test-1022.points, 65987, 351
test-1023.points, 107540, 820
test-1024.points, 93385, 884
test-1025.points, 86405, 1479
test-1026.points, 53906, 1091
test-1027.points, 79894, 452
test-1028.points, 92801, 740
test-1029.points, 82195, 941
test-103.points, 92243, 677
test-1030.points, 91204, 1052
test-1031.points, 66374, 806
test-1032.points, 106152, 712
test-1033.points, 72513, 578
test-1034.points, 92876, 380
test-1035.points, 71530, 1523
test-1036.points, 69719, 304
test-1037.points, 72400, 851
test-1038.points, 69470, 984
test-1039.points, 89225, 641
test-104.points, 100675, 585
test-1040.points, 58312, 1141
test-1041.points, 93663, 1389
test-1042.points, 54091, 816
test-1043.points, 85014, 620
test-1044.points, 88941, 603
test-1045.points, 59600, 808
test-1046.points, 75678, 670
test-1047.points, 71113, 474
test-1048.points, 71794, 953
test-1049.points, 82340, 1084
test-105.points, 98671, 732
test-1050.points, 90257, 394
test-1051.points, 98078, 338
test-1052.points, 89128, 630
test-1053.points, 101703, 333
test-1054.points, 85158, 804
test-1055.points, 84913, 203
test-1056.points, 71023, 787
test-1057.points, 99874, 763
test-1058.points, 83692, 620
test-1059.points, 57874, 411
test-106.points, 95082, 1117
test-1060.points, 77172, 882
test-1061.points, 80675, 1165
test-1062.points, 85548, 462
test-1063.points, 57700, 1053
test-1064.points, 111615, 551
test-1065.points, 56319, 281
test-1066.points, 60144, 849
test-1067.points, 113300, 870
test-1068.points, 84847, 873
test-1069.points, 64402, 478
test-107.points, 72886, 1013
test-1070.points, 55643, 901
test-1071.points, 92916, 666
test-1072.points, 155819, 1005
test-1073.points, 86885, 300
test-1074.points, 84172, 3021
test-1075.points, 70666, 742
test-1076.points, 58131, 605
test-1077.points, 54010, 797
test-1078.points, 75075, 904
test-1079.points, 57752, 505
test-108.points, 93988, 277
test-1080.points, 66698, 217
test-1081.points, 74304, 631
test-1082.points, 80439, 600
test-1083.points, 93479, 853
test-1084.points, 114756, 593
test-1085.points, 72241, 157
test-1086.points, 82082, 939
test-1087.points, 74424, 483
test-1088.points, 87119, 439
test-1089.points, 61584, 543
test-109.points, 76931, 452
test-1090.points, 92164, 276
test-1091.points, 68671, 283
test-1092.points, 74035, 357
test-1093.points, 71447, 193
test-1094.points, 49633, 170
test-1095.points, 43849, 265
test-1096.points, 62415, 343
test-1097.points, 63831, 337
test-1098.points, 62639, 777
test-1099.points, 69698, 729
test-11.points, 44575, 722
test-110.points, 66147, 217
test-1100.points, 50714, 693
test-1101.points, 78921, 531
test-1102.points, 51602, 631
test-1103.points, 78725, 399
test-1104.points, 43858, 183
test-1105.points, 56270, 718
test-1106.points, 51321, 453
test-1107.points, 71708, 291
test-1108.points, 54607, 303
test-1109.points, 65218, 396
test-111.points, 55098, 674
test-1110.points, 76026, 384
test-1111.points, 86402, 515
test-1112.points, 50700, 357
test-1113.points, 57583, 681
test-1114.points, 45540, 154
test-1115.points, 42754, 667
test-1116.points, 46609, 660
test-1117.points, 71440, 370
test-1118.points, 62217, 313
test-1119.points, 62228, 217
test-112.points, 58478, 458
test-1120.points, 57613, 361
test-1121.points, 81187, 240
test-1122.points, 63055, 464
test-1123.points, 60465, 409
test-1124.points, 47277, 425
test-1125.points, 53997, 388
test-1126.points, 69511, 690
test-1127.points, 58391, 574
test-1128.points, 50730, 621
test-1129.points, 72837, 730
test-113.points, 183, 139
test-1130.points, 72052, 335
test-1131.points, 68687, 744
test-1132.points, 67844, 797
test-1133.points, 64092, 148
test-1134.points, 53313, 242
test-1135.points, 64277, 406
test-1136.points, 61084, 455
test-1137.points, 57381, 444
test-1138.points, 60968, 399
test-1139.points, 50247, 701
test-114.points, 69871, 474
test-1140.points, 80247, 442
test-1141.points, 66872, 310
test-1142.points, 54126, 997
test-1143.points, 53487, 564
test-1144.points, 51671, 167
test-1145.points, 56819, 598
test-1146.points, 42794, 385
test-1147.points, 61963, 163
test-1148.points, 51066, 332
test-1149.points, 193, 483
test-115.points, 61976, 974
test-1150.points, 61169, 615
test-1151.points, 43260, 476
test-1152.points, 52754, 527
test-1153.points, 41197, 372
test-1154.points, 54040, 251
test-1155.points, 62676, 635
test-1156.points, 66225, 182
test-1157.points, 61509, 382
test-1158.points, 51405, 232
test-1159.points, 64418, 360
test-116.points, 56843, 504
test-1160.points, 65161, 312
test-1161.points, 45254, 715
test-1162.points, 64538, 302
test-1163.points, 70108, 636
test-1164.points, 60649, 169
test-1165.points, 68123, 1176
test-1166.points, 49478, 272
test-1167.points, 66094, 316
test-1168.points, 63523, 318
test-1169.points, 66355, 948
test-117.points, 52311, 843
test-1170.points, 67340, 299
test-1171.points, 51, 536
test-1172.points, 46967, 509
test-1173.points, 55400, 314
test-1174.points, 46828, 473
test-1175.points, 68769, 373
test-1176.points, 45936, 269
test-1177.points, 62189, 449
test-1178.points, 63577, 375
test-1179.points, 66640, 284
test-118.points, 56799, 760
test-1180.points, 55107, 758
test-1181.points, 70994, 185
test-1182.points, 70459, 310
test-1183.points, 51878, 390
test-1184.points, 68010, 270
test-1185.points, 73464, 152
test-1186.points, 62071, 310
test-1187.points, 64398, 182
test-1188.points, 572, 484
test-1189.points, 65394, 487
test-119.points, 45816, 481
test-1190.points, 62444, 256
test-1191.points, 58549, 294
test-1192.points, 54286, 404
test-1193.points, 43819, 838
test-1194.points, 51926, 346
test-1195.points, 61666, 428
test-1196.points, 58323, 400
test-1197.points, 76637, 454
test-1198.points, 68991, 438
test-1199.points, 61432, 626
test-12.points, 72172, 840
test-120.points, 67857, 172
test-1200.points, 62406, 477
test-1201.points, 61701, 451
test-1202.points, 58159, 340
test-1203.points, 51221, 193
test-1204.points, 65661, 538
test-1205.points, 52911, 244
test-1206.points, 68886, 369
test-1207.points, 45392, 410
test-1208.points, 68387, 313
test-1209.points, 65282, 411
test-121.points, 47360, 384
test-1210.points, 63656, 676
test-1211.points, 65484, 355
test-1212.points, 63217, 540
test-1213.points, 54146, 631
test-1214.points, 57602, 256
test-1215.points, 56132, 217
test-1216.points, 72211, 700
test-1217.points, 65512, 270
test-1218.points, 55385, 552
test-1219.points, 69407, 2501
test-122.points, 60423, 723
test-1220.points, 52299, 695
test-1221.points, 45911, 515
test-1222.points, 56161, 366
test-1223.points, 76927, 387
test-1224.points, 43328, 569
test-1225.points, 74883, 371
test-1226.points, 63657, 382
test-1227.points, 53091, 392
test-1228.points, 62477, 556
test-1229.points, 70028, 438
test-123.points, 61861, 198
test-1230.points, 61624, 584
test-1231.points, 53633, 180
test-1232.points, 60856, 371
test-1233.points, 79119, 669
test-1234.points, 52493, 317
test-1235.points, 55939, 274
test-1236.points, 68762, 111
test-1237.points, 66763, 472
test-1238.points, 54880, 167
test-1239.points, 54957, 619
test-124.points, 40351, 715
test-1240.points, 74060, 332
test-1241.points, 51961, 469
test-1242.points, 53037, 296
test-1243.points, 151, 503
test-1244.points, 61920, 461
test-1245.points, 49641, 386
test-1246.points, 51677, 171
test-1247.points, 69087, 415
test-1248.points, 69405, 427
test-1249.points, 58370, 290
test-125.points, 73810, 255
test-1250.points, 45583, 514
test-1251.points, 46592, 554
test-1252.points, 60456, 365
test-1253.points, 80466, 385
test-1254.points, 64798, 403
test-1255.points, 56128, 530
test-1256.points, 50806, 604
test-1257.points, 67842, 533
test-1258.points, 62321, 274
test-1259.points, 64016, 538
test-126.points, 46521, 194
test-1260.points, 52024, 653
test-1261.points, 54313, 530
test-1262.points, 66057, 450
test-1263.points, 51275, 608
test-1264.points, 46837, 509
test-1265.points, 72119, 300
test-1266.points, 70256, 554
test-1267.points, 72971, 583
test-1268.points, 68515, 297
test-1269.points, 52923, 249
test-127.points, 54476, 927
test-1270.points, 58536, 579
test-1271.points, 68217, 351
test-1272.points, 64386, 600
test-1273.points, 56079, 347
test-1274.points, 73939, 155
test-1275.points, 51058, 411
test-1276.points, 56339, 525
test-1277.points, 68631, 410
test-1278.points, 72238, 184
test-1279.points, 44659, 451
test-128.points, 52814, 717
test-1280.points, 59784, 150
test-1281.points, 82297, 505
test-1282.points, 48586, 500
test-1283.points, 53289, 180
test-1284.points, 71376, 254
test-1285.points, 63238, 583
test-1286.points, 51629, 217
test-1287.points, 45187, 712
test-1288.points, 69718, 663
test-1289.points, 63912, 587
test-129.points, 61014, 753
test-1290.points, 64798, 755
test-1291.points, 61301, 450
test-1292.points, 46945, 274
test-1293.points, 64782, 868
test-1294.points, 65428, 594
test-1295.points, 52514, 817
test-1296.points, 46044, 311
test-1297.points, 61244, 439
test-1298.points, 56425, 252
test-1299.points, 66001, 399
test-13.points, 70218, 574
test-130.points, 47561, 391
test-1300.points, 64026, 502
test-1301.points, 69447, 515
test-1302.points, 67806, 148
test-1303.points, 49050, 750
test-1304.points, 51407, 356
test-1305.points, 57840, 186
test-1306.points, 53742, 655
test-1307.points, 59091, 423
test-1308.points, 61724, 436
test-1309.points, 50632, 636
test-131.points, 45749, 732
test-1310.points, 61027, 819
test-1311.points, 77420, 176
test-1312.points, 48204, 369
test-1313.points, 62469, 816
test-1314.points, 71868, 688
test-1315.points, 48016, 324
test-1316.points, 64628, 230
test-1317.points, 61790, 670
test-1318.points, 67633, 450
test-1319.points, 55483, 442
test-132.points, 59565, 878
test-1320.points, 50096, 830
test-1321.points, 61886, 268
test-1322.points, 53625, 732
test-1323.points, 53634, 322
test-1324.points, 57820, 311
test-1325.points, 26, 376
test-1326.points, 64906, 590
test-1327.points, 48415, 474
test-1328.points, 71389, 467
test-1329.points, 64195, 511
test-133.points, 51444, 577
test-1330.points, 71488, 217
test-1331.points, 61378, 557
test-1332.points, 67141, 402
test-1333.points, 70617, 174
test-1334.points, 61572, 420
test-1335.points, 46662, 330
test-1336.points, 70753, 585
test-1337.points, 48565, 421
test-1338.points, 42113, 716
test-1339.points, 51361, 612
test-134.points, 61794, 709
test-1340.points, 45079, 164
test-1341.points, 61445, 244
test-1342.points, 57407, 540
test-1343.points, 46384, 658
test-1344.points, 46506, 701
test-1345.points, 48907, 758
test-1346.points, 64190, 461
test-1347.points, 56466, 458
test-1348.points, 53876, 740
test-1349.points, 69930, 256
test-135.points, 45570, 422
test-1350.points, 52058, 326
test-1351.points, 47469, 434
test-1352.points, 48218, 574
test-1353.points, 63518, 260
test-1354.points, 56317, 674
test-1355.points, 67105, 538
test-1356.points, 53204, 577
test-1357.points, 61563, 491
test-1358.points, 64947, 371
test-1359.points, 64771, 478
test-136.points, 68412, 468
test-1360.points, 42237, 354
test-1361.points, 69426, 597
test-1362.points, 51724, 1004
test-1363.points, 60172, 381
test-1364.points, 66791, 406
test-1365.points, 60529, 320
test-1366.points, 69585, 376
test-1367.points, 397, 243
test-1368.points, 70416, 286
test-1369.points, 43955, 476
test-137.points, 69025, 595
test-1370.points, 54726, 503
test-1371.points, 65625, 243
test-1372.points, 65954, 434
test-1373.points, 60199, 317
test-1374.points, 52158, 128
test-1375.points, 66198, 416
test-1376.points, 73540, 461
test-1377.points, 46474, 267
test-1378.points, 53243, 359
test-1379.points, 71663, 839
test-138.points, 65472, 343
test-1380.points, 73306, 299
test-1381.points, 52909, 354
test-1382.points, 73826, 281
test-1383.points, 62817, 242
test-1384.points, 53962, 281
test-1385.points, 53585, 298
test-1386.points, 52769, 461
test-1387.points, 63343, 712
test-1388.points, 58071, 592
test-1389.points, 63892, 349
test-139.points, 71120, 639
test-1390.points, 55315, 508
test-1391.points, 48042, 346
test-1392.points, 59706, 688
test-1393.points, 53949, 236
test-1394.points, 62125, 518
test-1395.points, 60399, 385
test-1396.points, 52795, 597
test-1397.points, 43939, 422
test-1398.points, 50222, 407
test-1399.points, 278, 248
test-14.points, 55647, 374
test-140.points, 69660, 653
test-1400.points, 66173, 528
test-1401.points, 59356, 504
test-1402.points, 61727, 569
test-1403.points, 59897, 469
test-1404.points, 43582, 487
test-1405.points, 63983, 482
test-1406.points, 42855, 547
test-1407.points, 46287, 310
test-1408.points, 66881, 352
test-1409.points, 63457, 510
test-141.points, 58128, 291
test-1410.points, 58161, 525
test-1411.points, 62081, 413
test-1412.points, 62182, 519
test-1413.points, 57440, 344
test-1414.points, 64528, 366
test-1415.points, 49775, 507
test-1416.points, 69948, 362
test-1417.points, 43515, 262
test-1418.points, 56572, 703
test-1419.points, 60136, 327
test-142.points, 64850, 694
test-1420.points, 61208, 494
test-1421.points, 74979, 603
test-1422.points, 48462, 324
test-1423.points, 63004, 745
test-1424.points, 62374, 699
test-1425.points, 69904, 442
test-1426.points, 46291, 321
test-1427.points, 70073, 501
test-1428.points, 51886, 618
test-1429.points, 62696, 321
test-143.points, 52454, 156
test-1430.points, 63389, 790
test-1431.points, 44284, 168
test-1432.points, 67578, 400
test-1433.points, 58858, 129
test-1434.points, 70887, 194
test-1435.points, 77275, 248
test-1436.points, 46927, 324
test-1437.points, 67001, 338
test-1438.points, 46820, 574
test-1439.points, 66456, 476
test-144.points, 74119, 689
test-1440.points, 68760, 583
test-1441.points, 57879, 239
test-1442.points, 61179, 399
test-1443.points, 61825, 502
test-1444.points, 59562, 595
test-1445.points, 66559, 269
test-1446.points, 67424, 556
test-1447.points, 65736, 487
test-1448.points, 399, 238
test-1449.points, 50377, 582
test-145.points, 43402, 452
test-1450.points, 52478, 464
test-1451.points, 49741, 441
test-1452.points, 43917, 489
test-1453.points, 64325, 293
test-1454.points, 59630, 666
test-1455.points, 75452, 652
test-1456.points, 61928, 754
test-1457.points, 66266, 490
test-1458.points, 58020, 193
test-1459.points, 69399, 487
test-146.points, 59637, 290
test-1460.points, 60448, 940
test-1461.points, 72425, 442
test-1462.points, 80653, 283
test-1463.points, 71174, 408
test-1464.points, 58762, 320
test-1465.points, 48491, 540
test-1466.points, 75300, 347
test-1467.points, 74854, 556
test-1468.points, 57337, 287
test-1469.points, 69124, 246
test-147.points, 46856, 857
test-1470.points, 56070, 728
test-1471.points, 43635, 278
test-1472.points, 40925, 191
test-1473.points, 50789, 352
test-1474.points, 65986, 524
test-1475.points, 48037, 145
test-1476.points, 60974, 607
test-1477.points, 51628, 369
test-1478.points, 69379, 293
test-1479.points, 53493, 751
test-148.points, 66674, 440
test-1480.points, 55487, 596
test-1481.points, 48441, 329
test-1482.points, 69762, 659
test-1483.points, 74203, 685
test-1484.points, 52328, 504
test-1485.points, 53186, 203
test-1486.points, 67767, 908
test-1487.points, 64280, 667
test-1488.points, 43847, 465
test-1489.points, 63871, 224
test-149.points, 46082, 322
test-1490.points, 65204, 242
test-1491.points, 70403, 535
test-1492.points, 302, 805
test-1493.points, 53327, 296
test-1494.points, 58245, 441
test-1495.points, 51589, 687
test-1496.points, 76536, 651
test-1497.points, 63465, 374
test-1498.points, 68662, 696
test-1499.points, 58201, 514
test-15.points, 69539, 545
test-150.points, 42000, 768
test-1500.points, 70023, 519
test-1501.points, 75255, 323
test-1502.points, 55556, 699
test-1503.points, 71446, 340
test-1504.points, 66160, 331
test-1505.points, 60397, 332
test-1506.points, 51606, 604
test-1507.points, 71661, 524
test-1508.points, 481, 253
test-1509.points, 54295, 494
test-151.points, 69105, 491
test-1510.points, 70954, 234
test-1511.points, 73296, 604
test-1512.points, 57802, 3214
test-1513.points, 56919, 422
test-1514.points, 59627, 545
test-1515.points, 46222, 587
test-1516.points, 67926, 438
test-1517.points, 41765, 283
test-1518.points, 69616, 312
test-1519.points, 64314, 480
test-152.points, 60491, 272
test-1520.points, 46433, 248
test-1521.points, 64258, 251
test-1522.points, 76874, 416
test-1523.points, 48311, 1837
test-1524.points, 48562, 358
test-1525.points, 54941, 395
test-1526.points, 60265, 527
test-1527.points, 51254, 364
test-1528.points, 65198, 735
test-1529.points, 70248, 212
test-153.points, 54546, 549
test-1530.points, 51683, 611
test-1531.points, 50856, 667
test-1532.points, 63124, 704
test-1533.points, 70539, 471
test-1534.points, 54041, 332
test-1535.points, 47438, 675
test-1536.points, 71116, 614
test-1537.points, 46969, 756
test-1538.points, 46901, 430
test-1539.points, 57755, 357
test-154.points, 54599, 388
test-1540.points, 46426, 243
test-1541.points, 55220, 358
test-1542.points, 61112, 332
test-1543.points, 75510, 518
test-1544.points, 70589, 841
test-1545.points, 60344, 478
test-1546.points, 77501, 610
test-1547.points, 65027, 470
test-1548.points, 65536, 702
test-1549.points, 49742, 375
test-155.points, 46547, 570
test-1550.points, 68405, 381
test-1551.points, 62917, 466
test-1552.points, 56792, 363
test-1553.points, 49902, 482
test-1554.points, 46289, 484
test-1555.points, 55318, 235
test-1556.points, 48125, 400
test-1557.points, 51649, 589
test-1558.points, 68411, 261
test-1559.points, 60012, 554
test-156.points, 65651, 539
test-1560.points, 71200, 566
test-1561.points, 45829, 217
test-1562.points, 48266, 590
test-1563.points, 55209, 719
test-1564.points, 52156, 540
test-1565.points, 65721, 544
test-1566.points, 65801, 162
test-1567.points, 61031, 1094
test-1568.points, 60715, 452
test-1569.points, 59272, 417
test-157.points, 51985, 811
test-1570.points, 43223, 336
test-1571.points, 51565, 538
test-1572.points, 70302, 531
test-1573.points, 62355, 510
test-1574.points, 74559, 353
test-1575.points, 70014, 284
test-1576.points, 73711, 207
test-1577.points, 65402, 449
test-1578.points, 76453, 314
test-1579.points, 68786, 535
test-158.points, 76983, 551
test-1580.points, 64372, 214
test-1581.points, 55333, 1029
test-1582.points, 51246, 622
test-1583.points, 62293, 378
test-1584.points, 61242, 437
test-1585.points, 69960, 418
test-1586.points, 63713, 502
test-1587.points, 61534, 484
test-1588.points, 49548, 348
test-1589.points, 75274, 656
test-159.points, 45222, 288
test-1590.points, 50347, 395
test-1591.points, 63220, 528
test-1592.points, 69559, 453
test-1593.points, 46339, 254
test-1594.points, 67478, 670
test-1595.points, 62936, 312
test-1596.points, 63704, 731
test-1597.points, 66318, 504
test-1598.points, 59608, 254
test-1599.points, 48598, 496
test-16.points, 67701, 434
test-160.points, 62779, 527
test-1600.points, 47491, 302
test-1601.points, 46755, 128
test-1602.points, 67457, 297
test-1603.points, 69510, 676
test-1604.points, 51547, 335
test-1605.points, 66195, 219
test-1606.points, 68876, 482
test-1607.points, 55959, 484
test-1608.points, 61244, 307
test-1609.points, 70931, 569
test-161.points, 63373, 663
test-1610.points, 64576, 177
test-1611.points, 55529, 306
test-1612.points, 68576, 422
test-1613.points, 55040, 354
