Fichier, Temps Naif, Temps Welzl
a-100.points, 26825, 3515
b-200.points, 88214, 1125
c-300.points, 160277, 1905
d-400.points, 1020856, 1494
e-500.points, 2223107, 3740
f-600.points, 4553568, 816
g-700.points, 3132215, 1592
h-800.points, 4499865, 2969
i-900.points, 10951354, 2613
j-1000.points, 15343034, 3055
k-1100.points, 21234028, 2847
l-1200.points, 27780769, 2454
m-1300.points, 35255752, 10471
n-1400.points, 44707509, 5434
o-1500.points, 53676742, 4146
p-1600.points, 64633085, 10328
q-1700.points, 77738472, 10017
r-1800.points, 94879909, 7391
s-1900.points, 110291794, 9633
t-2000.points, 130300689, 18501
u-2100.points, 149298323, 10674
v-2200.points, 218920982, 14175
w-2300.points, 248285564, 18814
x-2400.points, 276859423, 40024
y-2500.points, 319128652, 23814
