Fichier, Temps Naif, Temps Welzl
test-10.points, 79757, 2108
test-100.points, 65187, 1699
test-1000.points, 53816, 777
test-1001.points, 57563, 191
test-1002.points, 40834, 208
test-1003.points, 31288, 177
test-1004.points, 32032, 515
test-1005.points, 51521, 612
test-1006.points, 42223, 315
test-1007.points, 44995, 416
test-1008.points, 52372, 267
test-1009.points, 35700, 391
test-101.points, 35891, 209
test-1010.points, 36774, 297
test-1011.points, 63451, 357
test-1012.points, 52663, 285
test-1013.points, 51447, 263
test-1014.points, 32169, 317
test-1015.points, 42653, 375
test-1016.points, 51058, 332
test-1017.points, 34142, 175
test-1018.points, 44477, 264
test-1019.points, 52044, 139
test-102.points, 57464, 254
test-1020.points, 34128, 438
test-1021.points, 47960, 202
test-1022.points, 37656, 201
test-1023.points, 58747, 282
test-1024.points, 55177, 157
test-1025.points, 48809, 467
test-1026.points, 30015, 541
test-1027.points, 44854, 483
test-1028.points, 53386, 424
test-1029.points, 46006, 203
test-103.points, 52331, 168
test-1030.points, 52039, 285
test-1031.points, 38449, 267
test-1032.points, 61368, 252
test-1033.points, 40976, 205
test-1034.points, 50986, 210
test-1035.points, 40729, 380
test-1036.points, 38467, 338
test-1037.points, 41695, 174
test-1038.points, 39683, 202
test-1039.points, 52755, 252
test-104.points, 58483, 548
test-1040.points, 32718, 240
test-1041.points, 52976, 462
test-1042.points, 29984, 418
test-1043.points, 47422, 341
test-1044.points, 51057, 357
test-1045.points, 32322, 340
test-1046.points, 42936, 364
test-1047.points, 40220, 562
test-1048.points, 41280, 508
test-1049.points, 46709, 376
test-105.points, 51751, 254
test-1050.points, 52426, 428
test-1051.points, 56773, 378
test-1052.points, 52761, 573
test-1053.points, 56526, 415
test-1054.points, 48632, 294
test-1055.points, 47859, 194
test-1056.points, 39095, 193
test-1057.points, 57636, 235
test-1058.points, 47086, 551
test-1059.points, 31757, 371
test-106.points, 53475, 349
test-1060.points, 43074, 270
test-1061.points, 45883, 497
test-1062.points, 47088, 262
test-1063.points, 32165, 162
test-1064.points, 63037, 414
test-1065.points, 32822, 392
test-1066.points, 34662, 469
test-1067.points, 65146, 424
test-1068.points, 47852, 377
test-1069.points, 35840, 312
test-107.points, 40519, 163
test-1070.points, 31532, 337
test-1071.points, 53103, 248
test-1072.points, 55970, 297
test-1073.points, 47914, 191
test-1074.points, 47605, 325
test-1075.points, 40049, 164
test-1076.points, 31426, 277
test-1077.points, 30324, 253
test-1078.points, 42200, 349
test-1079.points, 31556, 500
test-108.points, 53027, 348
test-1080.points, 36484, 376
test-1081.points, 42748, 287
test-1082.points, 45276, 261
test-1083.points, 52236, 388
test-1084.points, 63556, 156
test-1085.points, 41227, 333
test-1086.points, 46115, 598
test-1087.points, 41496, 383
test-1088.points, 49433, 216
test-1089.points, 35586, 402
test-109.points, 46961, 514
test-1090.points, 60014, 264
test-1091.points, 46629, 548
test-1092.points, 52087, 543
test-1093.points, 51093, 217
test-1094.points, 37255, 581
test-1095.points, 33362, 168
test-1096.points, 46077, 299
test-1097.points, 48593, 139
test-1098.points, 48049, 327
test-1099.points, 52718, 326
test-11.points, 32735, 734
test-110.points, 50401, 449
test-1100.points, 38395, 383
test-1101.points, 59731, 617
test-1102.points, 37597, 420
test-1103.points, 59874, 711
test-1104.points, 32301, 544
test-1105.points, 40874, 353
test-1106.points, 36978, 146
test-1107.points, 54107, 693
test-1108.points, 41896, 691
test-1109.points, 48323, 318
test-111.points, 41381, 592
test-1110.points, 56375, 359
test-1111.points, 65158, 204
test-1112.points, 37747, 172
test-1113.points, 42978, 476
test-1114.points, 34270, 180
test-1115.points, 32138, 388
test-1116.points, 35427, 712
test-1117.points, 54423, 119
test-1118.points, 47477, 759
test-1119.points, 45837, 294
test-112.points, 44487, 220
test-1120.points, 42568, 474
test-1121.points, 60443, 480
test-1122.points, 48171, 284
test-1123.points, 43961, 367
test-1124.points, 35623, 444
test-1125.points, 40864, 271
test-1126.points, 50901, 535
test-1127.points, 42914, 727
test-1128.points, 37600, 453
