Fichier, Temps Naif, Temps Welzl
a-100.points, 13663, 1591
b-200.points, 70355, 958
c-300.points, 75306, 1295
d-400.points, 463027, 2102
e-500.points, 989832, 947
f-600.points, 1666434, 812
g-700.points, 2640672, 1122
h-800.points, 3892206, 1975
i-900.points, 5489168, 3281
j-1000.points, 7740809, 1941
k-1100.points, 10590789, 6525
l-1200.points, 13589977, 1056
m-1300.points, 17310442, 2236
n-1400.points, 21953249, 2470
o-1500.points, 27281738, 3996
p-1600.points, 32556513, 5156
q-1700.points, 39067700, 5677
r-1800.points, 46952978, 9755
s-1900.points, 55275013, 18361
t-2000.points, 63421445, 9720
u-2100.points, 74204815, 6752
v-2200.points, 104059226, 7055
w-2300.points, 119650356, 5809
x-2400.points, 135717022, 12198
y-2500.points, 154335894, 13736
